dst_host_srv_count,dst_host_diff_srv_rate,Malicious
26,0.05,TRUE
19,0.07,TRUE
9,0.05,TRUE
15,0.07,TRUE
23,0.05,TRUE
13,0.06,TRUE
12,0.07,TRUE
13,0.07,TRUE
20,0,TRUE
1,0.07,TRUE
2,0.06,TRUE
16,0,TRUE
23,0.05,TRUE
17,0.06,TRUE
2,0.06,TRUE
13,0.07,TRUE
53,0,TRUE
59,0.04,TRUE
1,0.31,TRUE
17,0.07,TRUE
13,0.07,TRUE
63,0.02,TRUE
9,0.07,TRUE
11,0.07,TRUE
80,0.02,TRUE
38,0,TRUE
5,0.07,TRUE
4,0.08,TRUE
2,0.02,TRUE
46,0,TRUE
11,0.07,TRUE
59,0.04,TRUE
4,0.08,TRUE
1,0.84,TRUE
10,0.07,TRUE
1,0.58,TRUE
67,0.02,TRUE
6,0.07,TRUE
21,0.06,TRUE
31,0.05,TRUE
6,0.07,TRUE
9,0.06,TRUE
8,0.07,TRUE
7,0.07,TRUE
2,0.07,TRUE
95,0,TRUE
7,0.11,TRUE
1,0.07,TRUE
15,0.06,TRUE
10,0.08,TRUE
3,0.07,TRUE
12,0.05,TRUE
182,0.29,TRUE
2,0.69,TRUE
17,0.07,TRUE
20,0.07,TRUE
19,0.08,TRUE
8,0.08,TRUE
8,0.07,TRUE
20,0.08,TRUE
1,0.07,TRUE
7,0.08,TRUE
7,0.07,TRUE
255,0,TRUE
7,0.06,TRUE
8,0.09,TRUE
2,0.07,TRUE
1,1,TRUE
26,0,TRUE
64,0.02,TRUE
1,0.06,TRUE
14,0.08,TRUE
1,0.08,TRUE
15,0.05,TRUE
18,0.06,TRUE
15,0,TRUE
3,0.08,TRUE
4,0.07,TRUE
2,0.74,TRUE
12,0.08,TRUE
212,0.02,TRUE
15,0.07,TRUE
19,0.05,TRUE
3,0.05,TRUE
1,0.91,TRUE
6,0.06,TRUE
11,0.07,TRUE
34,0.02,TRUE
42,0.03,TRUE
18,0.07,TRUE
15,0.07,TRUE
142,0.02,TRUE
9,0.05,TRUE
17,0.06,TRUE
1,0.52,TRUE
14,0.06,TRUE
18,0.07,TRUE
19,0.05,TRUE
1,0.8,TRUE
38,0,TRUE
17,0.07,TRUE
22,0.05,TRUE
16,0.06,TRUE
3,0.07,TRUE
28,0,TRUE
20,0.07,TRUE
25,0,TRUE
24,0.05,TRUE
71,0.01,TRUE
3,0.07,TRUE
7,0.07,TRUE
2,0.06,TRUE
123,0,TRUE
3,0.07,TRUE
52,0.03,TRUE
8,0.06,TRUE
9,0.1,TRUE
60,0,TRUE
19,0.05,TRUE
63,0,TRUE
2,0.74,TRUE
1,1,TRUE
46,0.02,TRUE
1,0.38,TRUE
22,0.05,TRUE
11,0.07,TRUE
111,0,TRUE
4,0.07,TRUE
14,0.07,TRUE
10,0.05,TRUE
10,0.07,TRUE
26,0.04,TRUE
25,0.05,TRUE
7,0.07,TRUE
9,0.07,TRUE
2,0.5,TRUE
30,0.06,TRUE
18,0.07,TRUE
112,0,TRUE
5,0.06,TRUE
2,0.08,TRUE
52,0.04,TRUE
42,0,TRUE
61,0,TRUE
1,0.16,TRUE
13,0.07,TRUE
9,0.06,TRUE
19,0.07,TRUE
255,0,TRUE
11,0,TRUE
1,0.47,TRUE
17,0.06,TRUE
7,0.05,TRUE
14,0.07,TRUE
5,0.07,TRUE
3,0.07,TRUE
1,0.6,TRUE
1,0.64,TRUE
7,0.07,TRUE
8,0.07,TRUE
6,0.09,TRUE
2,0.07,TRUE
12,0.08,TRUE
5,0.07,TRUE
19,0.07,TRUE
2,1,TRUE
1,0.53,TRUE
3,0.05,TRUE
1,1,TRUE
13,0.08,TRUE
3,0.07,TRUE
18,0.07,TRUE
255,0,TRUE
251,0,TRUE
