dst_host_srv_count,dst_host_diff_srv_rate,flag,srv_serror_rate,serror_rate,Malicious
26,0.05,4,1.0,1.0,1
19,0.07,1,0.0,0.0,1
9,0.05,4,1.0,1.0,1
15,0.07,4,1.0,1.0,1
23,0.05,4,1.0,1.0,1
13,0.06,4,1.0,1.0,1
12,0.07,1,0.0,0.0,1
13,0.07,4,1.0,1.0,1
20,0.0,2,0.0,0.0,1
1,0.07,4,1.0,1.0,1
2,0.06,4,1.0,1.0,1
16,0.0,2,0.0,0.0,1
23,0.05,4,1.0,1.0,1
17,0.06,4,1.0,1.0,1
2,0.06,4,1.0,1.0,1
13,0.07,4,1.0,1.0,1
53,0.0,2,0.0,0.0,1
59,0.04,4,1.0,1.0,1
1,0.31,1,0.0,0.0,1
17,0.07,4,1.0,1.0,1
13,0.07,4,1.0,1.0,1
63,0.02,4,1.0,1.0,1
9,0.07,4,1.0,1.0,1
11,0.07,4,1.0,1.0,1
80,0.02,2,0.0,0.0,1
38,0.0,2,0.0,0.0,1
5,0.07,4,1.0,1.0,1
4,0.08,1,0.0,0.0,1
2,0.02,2,0.0,0.0,1
46,0.0,2,0.0,0.0,1
11,0.07,4,1.0,1.0,1
59,0.04,4,1.0,1.0,1
4,0.08,1,0.0,0.0,1
1,0.84,1,0.0,0.1,1
10,0.07,1,0.0,0.0,1
1,0.58,5,0.0,0.0,1
67,0.02,4,1.0,1.0,1
6,0.07,1,0.0,0.0,1
21,0.06,4,1.0,1.0,1
31,0.05,4,1.0,1.0,1
6,0.07,4,1.0,1.0,1
9,0.06,4,1.0,1.0,1
8,0.07,1,0.0,0.0,1
7,0.07,1,0.0,0.0,1
2,0.07,4,1.0,1.0,1
95,0.0,2,0.0,0.0,1
7,0.11,4,1.0,1.0,1
1,0.07,4,1.0,1.0,1
15,0.06,1,0.0,0.0,1
10,0.08,1,0.0,0.0,1
3,0.07,4,1.0,1.0,1
12,0.05,4,1.0,1.0,1
182,0.29,2,0.0,0.0,1
2,0.69,5,0.0,0.0,1
17,0.07,1,0.0,0.0,1
20,0.07,1,0.0,0.0,1
19,0.08,1,0.0,0.0,1
8,0.08,4,1.0,1.0,1
8,0.07,4,1.0,1.0,1
20,0.08,4,1.0,1.0,1
1,0.07,1,0.0,0.0,1
7,0.08,4,1.0,1.0,1
7,0.07,4,1.0,1.0,1
255,0.0,2,0.0,0.0,1
7,0.06,4,1.0,1.0,1
8,0.09,1,0.0,0.0,1
2,0.07,1,0.0,0.0,1
1,1.0,6,1.0,1.0,1
26,0.0,2,0.0,0.0,1
64,0.02,4,1.0,1.0,1
1,0.06,4,1.0,1.0,1
14,0.08,4,1.0,1.0,1
1,0.08,4,1.0,1.0,1
15,0.05,4,1.0,1.0,1
18,0.06,4,1.0,1.0,1
15,0.0,2,0.0,0.0,1
3,0.08,4,1.0,1.0,1
4,0.07,4,1.0,1.0,1
2,0.74,5,0.0,0.0,1
12,0.08,4,1.0,1.0,1
212,0.02,2,0.0,0.0,1
15,0.07,1,0.0,0.0,1
19,0.05,4,1.0,0.99,1
3,0.05,4,1.0,1.0,1
1,0.91,1,0.0,0.08,1
6,0.06,2,0.0,0.0,1
11,0.07,4,1.0,1.0,1
34,0.02,2,0.0,0.0,1
42,0.03,4,1.0,1.0,1
18,0.07,4,1.0,1.0,1
15,0.07,4,1.0,1.0,1
142,0.02,2,0.0,0.0,1
9,0.05,4,1.0,1.0,1
17,0.06,4,1.0,1.0,1
1,0.52,1,0.0,0.0,1
14,0.06,4,1.0,1.0,1
18,0.07,4,1.0,1.0,1
19,0.05,4,1.0,1.0,1
1,0.8,1,0.0,0.05,1
38,0.0,2,0.0,0.0,1
17,0.07,4,1.0,1.0,1
22,0.05,4,1.0,1.0,1
16,0.06,4,1.0,1.0,1
3,0.07,4,1.0,1.0,1
28,0.0,2,0.0,0.0,1
20,0.07,4,1.0,1.0,1
25,0.0,2,0.0,0.0,1
24,0.05,4,1.0,1.0,1
71,0.01,2,0.0,0.0,1
3,0.07,3,0.0,0.0,1
7,0.07,4,1.0,1.0,1
2,0.06,4,1.0,1.0,1
123,0.0,2,0.0,0.0,1
3,0.07,4,1.0,1.0,1
52,0.03,4,1.0,1.0,1
8,0.06,4,1.0,1.0,1
9,0.1,4,1.0,1.0,1
