dst_host_srv_serror_rate,dst_host_serror_rate,serror_rate,srv_serror_rate,count,flag,same_srv_rate,dst_host_srv_count,dst_host_diff_srv_rate,Malicious
1,1,1,1,123,4,0.05,26,0.05,1
0,0,0,0,121,1,0.16,19,0.07,1
1,1,1,1,166,4,0.05,9,0.05,1
1,1,1,1,117,4,0.14,15,0.07,1
1,1,1,1,270,4,0.09,23,0.05,1
1,1,1,1,133,4,0.06,13,0.06,1
0,0,0,0,205,1,0.06,12,0.07,1
1,1,1,1,199,4,0.02,13,0.07,1
0,0,0,0,2,2,1,20,0,1
1,1,1,1,233,4,0,1,0.07,1
1,1,1,1,96,4,0.17,2,0.06,1
0,0,0,0,1,2,1,16,0,1
1,1,1,1,223,4,0.1,23,0.05,1
1,0.99,1,1,280,4,0.06,17,0.06,1
1,1,1,1,248,4,0.01,2,0.06,1
1,1,1,1,279,4,0.03,13,0.07,1
0,0,0,0,1,2,1,53,0,1
1,1,1,1,57,4,0.28,59,0.04,1
0,0,0,0,2,1,0.5,1,0.31,1
1,1,1,1,205,4,0.08,17,0.07,1
1,1,1,1,228,4,0.06,13,0.07,1
1,1,1,1,50,4,0.22,63,0.02,1
1,1,1,1,262,4,0.05,9,0.07,1
1,1,1,1,108,4,0.1,11,0.07,1
0,0,0,0,80,2,1,80,0.02,1
0,0,0,0,2,2,1,38,0,1
1,1,1,1,258,4,0.07,5,0.07,1
0,0,0,0,61,1,0.07,4,0.08,1
0,0,0,0,2,2,1,2,0.02,1
0,0,0,0,1,2,1,46,0,1
1,1,1,1,135,4,0.07,11,0.07,1
1,1,1,1,24,4,0.5,59,0.04,1
0,0,0,0,206,1,0.02,4,0.08,1
0,0.07,0.1,0,175,1,0.01,1,0.84,1
0,0,0,0,63,1,0.16,10,0.07,1
0,0,0,0,1,5,1,1,0.58,1
1,1,1,1,52,4,0.37,67,0.02,1
0,0,0,0,125,1,0.06,6,0.07,1
1,1,1,1,168,4,0.12,21,0.06,1
1,1,1,1,145,4,0.11,31,0.05,1
1,1,1,1,138,4,0.04,6,0.07,1
1,1,1,1,276,4,0.03,9,0.06,1
0,0,0,0,248,1,0.03,8,0.07,1
0,0,0,0,135,1,0.05,7,0.07,1
1,1,1,1,220,4,0.09,2,0.07,1
0,0,0,0,1,2,1,95,0,1
1,0.97,1,1,212,4,0.03,7,0.11,1
1,1,1,1,250,4,0.05,1,0.07,1
0,0,0,0,132,1,0.11,15,0.06,1
0,0,0,0,146,1,0.12,10,0.08,1
1,1,1,1,300,4,0.02,3,0.07,1
1,1,1,1,129,4,0.12,12,0.05,1
0,0.09,0,0,82,2,1,182,0.29,1
0,0,0,0,2,5,1,2,0.69,1
0,0,0,0,110,1,0.15,17,0.07,1
0,0,0,0,246,1,0.08,20,0.07,1
0,0,0,0,272,1,0.07,19,0.08,1
1,1,1,1,259,4,0.03,8,0.08,1
1,1,1,1,294,4,0.02,8,0.07,1
1,1,1,1,190,4,0.11,20,0.08,1
0,0,0,0,135,1,0.04,1,0.07,1
1,1,1,1,123,4,0.06,7,0.08,1
1,1,1,1,245,4,0.08,7,0.07,1
0,0,0,0,263,2,1,255,0,1
1,1,1,1,109,4,0.12,7,0.06,1
0,0,0,0,145,1,0.06,8,0.09,1
0,0,0,0,250,1,0.01,2,0.07,1
1,1,1,1,1,6,1,1,1,1
0,0,0,0,2,2,1,26,0,1
1,1,1,1,13,4,0.31,64,0.02,1
1,1,1,1,87,4,0.01,1,0.06,1
1,1,1,1,292,4,0.04,14,0.08,1
1,1,1,1,295,4,0.06,1,0.08,1
1,1,1,1,143,4,0.1,15,0.05,1
1,1,1,1,102,4,0.19,18,0.06,1
0,0,0,0,1,2,1,15,0,1
1,1,1,1,251,4,0.01,3,0.08,1
1,1,1,1,260,4,0.02,4,0.07,1
0,0,0,0,2,5,1,2,0.74,1
1,1,1,1,44,4,0.27,12,0.08,1
0,0,0,0,511,2,1,212,0.02,1
0,0,0,0,272,1,0.06,15,0.07,1
1,1,0.99,1,122,4,0.16,19,0.05,1
1,1,1,1,287,4,0.01,3,0.05,1
0,0.11,0.08,0,486,1,0,1,0.91,1
0,0,0,0,22,2,0.27,6,0.06,1
1,1,1,1,286,4,0.03,11,0.07,1
0,0,0,0,35,2,0.97,34,0.02,1
1,1,1,1,28,4,0.07,42,0.03,1
1,1,1,1,108,4,0.17,18,0.07,1
1,1,1,1,101,4,0.05,15,0.07,1
0,0,0,0,1,2,1,142,0.02,1
1,1,1,1,223,4,0.04,9,0.05,1
1,1,1,1,223,4,0.08,17,0.06,1
0,0,0,0,406,1,0,1,0.52,1
1,1,1,1,143,4,0.1,14,0.06,1
1,1,1,1,201,4,0.09,18,0.07,1
1,1,1,1,124,4,0.15,19,0.05,1
0,0.03,0.05,0,162,1,0.01,1,0.8,1
0,0,0,0,2,2,1,38,0,1
1,1,1,1,277,4,0.06,17,0.07,1
1,1,1,1,274,4,0.08,22,0.05,1
1,1,1,1,141,4,0.09,16,0.06,1
1,1,1,1,103,4,0.03,3,0.07,1
0,0,0,0,1,2,1,28,0,1
1,1,1,1,246,4,0.08,20,0.07,1
0,0,0,0,1,2,1,25,0,1
1,1,1,1,125,4,0.19,24,0.05,1
0,0,0,0,4,2,1,71,0.01,1
0,0,0,0,250,3,0.01,3,0.07,1
1,1,1,1,238,4,0.03,7,0.07,1
1,1,1,1,102,4,0.02,2,0.06,1
0,0,0,0,1,2,1,123,0,1
1,1,1,1,281,4,0.01,3,0.07,1
1,1,1,1,30,4,0.07,52,0.03,1
1,1,1,1,276,4,0.03,8,0.06,1
1,1,1,1,163,4,0.06,9,0.1,1
0,0,0,0,1,2,1,60,0,1
1,1,1,1,301,4,0.07,19,0.05,1
0,0,0,0,1,2,1,63,0,1
0,0,0,0,2,5,1,2,0.74,1
1,1,1,1,1,6,1,1,1,1
0,0,0,0,46,2,1,46,0.02,1
0,0,0,0,1,5,1,1,0.38,1
1,1,1,1,211,4,0.1,22,0.05,1
0,0,0,0,280,1,0.04,11,0.07,1
0,0,0,0,1,2,1,111,0,1
1,1,1,1,201,4,0,4,0.07,1
0,0,0,0,276,1,0.05,14,0.07,1
1,1,1,1,258,4,0.04,10,0.05,1
1,1,1,1,256,4,0.05,10,0.07,1
1,1,1,1,14,4,0.43,26,0.04,1
1,1,1,1,138,4,0.18,25,0.05,1
1,1,1,1,300,4,0.02,7,0.07,1
1,1,1,1,199,4,0.05,9,0.07,1
0,0,0,0,2,5,1,2,0.5,1
1,1,1,1,144,4,0.1,30,0.06,1
1,1,1,1,104,4,0.04,18,0.07,1
0,0,0,0,1,2,1,112,0,1
1,1,1,1,74,4,0.22,5,0.06,1
0,0,0,0,225,1,0.01,2,0.08,1
1,1,0.97,1,66,4,0.24,52,0.04,1
0.02,0,0,0.14,1,2,1,42,0,1
0,0,0,0,1,2,1,61,0,1
0,0,0,0,1,5,1,1,0.16,1
1,1,1,1,139,4,0.09,13,0.07,1
0,0,0,0,144,3,0.11,9,0.06,1
1,1,1,1,241,4,0.08,19,0.07,1
0,0,0,0,213,2,1,255,0,1
0,0,0,0,1,2,1,11,0,1
0,0.02,0.17,0,36,1,0.03,1,0.47,1
1,1,1,1,254,4,0.07,17,0.06,1
1,1,1,1,295,4,0.02,7,0.05,1
1,1,1,1,171,4,0.02,14,0.07,1
1,1,1,1,179,4,0.01,5,0.07,1
1,1,1,1,101,4,0.07,3,0.07,1
0,0.01,0,0,2,1,0.5,1,0.6,1
0,0,0,0,1,5,1,1,0.64,1
1,1,1,1,260,4,0.03,7,0.07,1
1,1,1,1,125,4,0.1,8,0.07,1
0,0,0,0,139,1,0.07,6,0.09,1
1,1,1,1,251,4,0.03,2,0.07,1
1,1,1,1,211,4,0.08,12,0.08,1
1,1,1,1,208,4,0.01,5,0.07,1
1,1,1,1,268,4,0.07,19,0.07,1
0,0,0,0,1,1,1,2,1,1
0,0,0,0,2,1,0.5,1,0.53,1
1,1,1,1,286,4,0.01,3,0.05,1
0,0.08,0.08,0,425,1,0,1,1,1
1,1,1,0.43,272,4,0.05,13,0.08,1
0,0,0,0,241,1,0.01,3,0.07,1
1,1,1,1,125,4,0.15,18,0.07,1
0,0,0,0,1,2,1,255,0,1
0,0,0,0,1,2,1,251,0,1
0.48,0.98,1,1,42,4,0.24,62,0.03,1
1,1,1,1,274,4,0.04,10,0.07,1
1,1,1,1,196,4,0.06,12,0.08,1
1,1,1,1,111,4,0.05,6,0.07,1
1,1,1,1,168,4,0.02,3,0.08,1
1,1,1,1,108,4,0.07,8,0.07,1
1,1,1,1,36,4,0.33,12,0.1,1
1,1,1,1,143,4,0.13,4,0.06,1
1,1,1,1,132,4,0.06,8,0.05,1
1,1,1,1,222,4,0,1,0.06,1
1,0.98,1,1,260,4,0.03,8,0.08,1
1,1,1,1,237,4,0.06,1,0.08,1
1,1,1,1,132,4,0.11,16,0.05,1
0,0,0,0,2,5,1,2,0.82,1
1,1,1,1,57,4,0.19,11,0.07,1
0,0,0,0,1,2,1,200,0,1
1,1,1,1,257,4,0.07,19,0.07,1
0,0,0,0,1,2,1,41,0,1
1,1,1,1,257,4,0.07,2,0.09,1
0.97,0.99,1,1,13,4,1,75,0.01,1
0,0,0,0,137,3,0.07,4,0.06,1
1,1,1,1,132,4,0.02,14,0.07,1
1,1,1,1,290,4,0.06,11,0.08,1
1,1,1,1,203,4,0.01,9,0.06,1
1,1,1,1,290,4,0.03,9,0.08,1
0,0,0,0,116,3,0.03,3,0.08,1
1,1,1,1,260,4,0.02,5,0.07,1
0,0,0,0,12,2,0.08,24,0.2,1
0,0,0,0,21,2,1,21,0.02,1
0,0,0,0,486,2,1,255,0,1
0,0,0,0,1,1,1,2,1,1
0,0,0,0,457,2,1,153,0,1
1,1,1,1,47,4,0.09,64,0.02,1
0,0,0,0,139,3,0.07,10,0.06,1
1,1,1,1,200,4,0.03,6,0.07,1
1,1,1,1,140,4,0.01,1,0.08,1
0,0,0,0,511,2,1,200,0.01,1
0,0,0,0,68,2,1,68,0.02,1
1,1,1,1,132,4,0.05,7,0.06,1
1,1,1,1,115,4,0.16,18,0.04,1
1,1,1,1,35,4,0.46,16,0.08,1
1,1,1,1,275,4,0.05,15,0.09,1
0,0,0,0,76,1,0.17,13,0.07,1
1,1,1,1,202,4,0.01,8,0.07,1
1,1,1,1,252,4,0.06,13,0.09,1
1,1,1,1,74,4,0.23,58,0.02,1
