dst_host_srv_count,Malicious
26,TRUE
19,TRUE
9,TRUE
15,TRUE
23,TRUE
13,TRUE
12,TRUE
13,TRUE
20,TRUE
1,TRUE
2,TRUE
16,TRUE
23,TRUE
17,TRUE
2,TRUE
13,TRUE
53,TRUE
59,TRUE
1,TRUE
17,TRUE
13,TRUE
63,TRUE
9,TRUE
11,TRUE
80,TRUE
38,TRUE
5,TRUE
4,TRUE
2,TRUE
46,TRUE
11,TRUE
59,TRUE
4,TRUE
1,TRUE
10,TRUE
1,TRUE
67,TRUE
6,TRUE
21,TRUE
31,TRUE
6,TRUE
9,TRUE
8,TRUE
7,TRUE
2,TRUE
95,TRUE
7,TRUE
1,TRUE
15,TRUE
10,TRUE
3,TRUE
12,TRUE
182,TRUE
2,TRUE
17,TRUE
20,TRUE
19,TRUE
8,TRUE
8,TRUE
20,TRUE
1,TRUE
7,TRUE
7,TRUE
255,TRUE
7,TRUE
8,TRUE
2,TRUE
1,TRUE
26,TRUE
64,TRUE
1,TRUE
14,TRUE
1,TRUE
15,TRUE
18,TRUE
15,TRUE
3,TRUE
4,TRUE
2,TRUE
12,TRUE
212,TRUE
15,TRUE
19,TRUE
3,TRUE
1,TRUE
6,TRUE
11,TRUE
34,TRUE
42,TRUE
18,TRUE
15,TRUE
142,TRUE
9,TRUE
17,TRUE
1,TRUE
14,TRUE
18,TRUE
19,TRUE
1,TRUE
38,TRUE
17,TRUE
22,TRUE
16,TRUE
3,TRUE
28,TRUE
20,TRUE
25,TRUE
24,TRUE
71,TRUE
3,TRUE
7,TRUE
2,TRUE
123,TRUE
3,TRUE
52,TRUE
8,TRUE
9,TRUE
60,TRUE
19,TRUE
63,TRUE
2,TRUE
1,TRUE
46,TRUE
1,TRUE
22,TRUE
11,TRUE
111,TRUE
4,TRUE
14,TRUE
10,TRUE
10,TRUE
26,TRUE
25,TRUE
7,TRUE
9,TRUE
2,TRUE
30,TRUE
18,TRUE
112,TRUE
5,TRUE
2,TRUE
52,TRUE
42,TRUE
61,TRUE
1,TRUE
13,TRUE
9,TRUE
19,TRUE
255,TRUE
11,TRUE
1,TRUE
17,TRUE
7,TRUE
14,TRUE
5,TRUE
3,TRUE
1,TRUE
1,TRUE
7,TRUE
8,TRUE
6,TRUE
2,TRUE
12,TRUE
5,TRUE
19,TRUE
2,TRUE
1,TRUE
3,TRUE
1,TRUE
13,TRUE
3,TRUE
18,TRUE
255,TRUE
251,TRUE
62,TRUE
10,TRUE
12,TRUE
6,TRUE
3,TRUE
8,TRUE
12,TRUE
4,TRUE
8,TRUE
1,TRUE
8,TRUE
1,TRUE
16,TRUE
2,TRUE
11,TRUE
200,TRUE
19,TRUE
41,TRUE
2,TRUE
75,TRUE
4,TRUE
14,TRUE
11,TRUE
9,TRUE
9,TRUE
3,TRUE
5,TRUE
24,TRUE
21,TRUE
255,TRUE
2,TRUE
153,TRUE
64,TRUE
10,TRUE
6,TRUE
1,TRUE
200,TRUE
68,TRUE
7,TRUE
18,TRUE
16,TRUE
15,TRUE
13,TRUE
8,TRUE
13,TRUE
58,TRUE
15,TRUE
79,TRUE
2,TRUE
4,TRUE
1,TRUE
21,TRUE
6,TRUE
35,TRUE
1,TRUE
18,TRUE
4,TRUE
2,TRUE
4,TRUE
1,TRUE
8,TRUE
20,TRUE
20,TRUE
123,TRUE
59,TRUE
1,TRUE
14,TRUE
17,TRUE
17,TRUE
14,TRUE
14,TRUE
1,TRUE
14,TRUE
2,TRUE
1,TRUE
9,TRUE
12,TRUE
58,TRUE
141,TRUE
4,TRUE
18,TRUE
2,TRUE
15,TRUE
17,TRUE
28,TRUE
9,TRUE
1,TRUE
7,TRUE
7,TRUE
15,TRUE
16,TRUE
2,TRUE
18,TRUE
255,TRUE
6,TRUE
225,TRUE
2,TRUE
13,TRUE
17,TRUE
17,TRUE
65,TRUE
20,TRUE
255,TRUE
12,TRUE
2,TRUE
18,TRUE
4,TRUE
22,TRUE
17,TRUE
1,TRUE
18,TRUE
33,TRUE
2,TRUE
11,TRUE
68,TRUE
12,TRUE
1,TRUE
6,TRUE
2,TRUE
214,TRUE
1,TRUE
1,TRUE
11,TRUE
23,TRUE
4,TRUE
9,TRUE
16,TRUE
1,TRUE
5,TRUE
11,TRUE
2,TRUE
1,TRUE
15,TRUE
1,TRUE
6,TRUE
4,TRUE
1,TRUE
255,TRUE
9,TRUE
1,TRUE
8,TRUE
16,TRUE
88,TRUE
17,TRUE
12,TRUE
15,TRUE
4,TRUE
73,TRUE
17,TRUE
6,TRUE
13,TRUE
4,TRUE
14,TRUE
1,TRUE
2,TRUE
5,TRUE
66,TRUE
1,TRUE
16,TRUE
1,TRUE
27,TRUE
20,TRUE
3,TRUE
37,TRUE
22,TRUE
20,TRUE
17,TRUE
5,TRUE
2,TRUE
20,TRUE
22,TRUE
11,TRUE
118,TRUE
1,TRUE
15,TRUE
7,TRUE
67,TRUE
4,TRUE
3,TRUE
12,TRUE
18,TRUE
118,TRUE
1,TRUE
15,TRUE
27,TRUE
183,TRUE
51,TRUE
7,TRUE
10,TRUE
10,TRUE
19,TRUE
16,TRUE
18,TRUE
5,TRUE
11,TRUE
17,TRUE
2,TRUE
27,TRUE
2,TRUE
18,TRUE
129,TRUE
2,TRUE
219,TRUE
11,TRUE
25,TRUE
12,TRUE
13,TRUE
20,TRUE
4,TRUE
3,TRUE
10,TRUE
17,TRUE
1,TRUE
7,TRUE
14,TRUE
2,TRUE
54,TRUE
15,TRUE
1,TRUE
2,TRUE
17,TRUE
129,TRUE
1,TRUE
6,TRUE
2,TRUE
17,TRUE
1,TRUE
4,TRUE
5,TRUE
9,TRUE
63,TRUE
214,TRUE
9,TRUE
2,TRUE
9,TRUE
4,TRUE
98,TRUE
18,TRUE
6,TRUE
27,TRUE
21,TRUE
21,TRUE
2,TRUE
10,TRUE
17,TRUE
9,TRUE
10,TRUE
10,TRUE
14,TRUE
3,TRUE
2,TRUE
16,TRUE
1,TRUE
1,TRUE
169,TRUE
1,TRUE
13,TRUE
255,TRUE
80,TRUE
1,TRUE
1,TRUE
1,TRUE
2,TRUE
18,TRUE
4,TRUE
1,TRUE
255,TRUE
1,TRUE
21,TRUE
51,TRUE
255,TRUE
11,TRUE
23,TRUE
8,TRUE
18,TRUE
153,TRUE
57,TRUE
3,TRUE
1,TRUE
14,TRUE
3,TRUE
12,TRUE
8,TRUE
3,TRUE
16,TRUE
11,TRUE
62,TRUE
11,TRUE
16,TRUE
9,TRUE
24,TRUE
30,TRUE
15,TRUE
9,TRUE
1,TRUE
5,TRUE
22,TRUE
15,TRUE
255,TRUE
250,TRUE
15,TRUE
7,TRUE
139,TRUE
20,TRUE
7,TRUE
2,TRUE
6,TRUE
7,TRUE
7,TRUE
5,TRUE
13,TRUE
19,TRUE
5,TRUE
13,TRUE
17,TRUE
2,TRUE
1,TRUE
3,TRUE
8,TRUE
1,TRUE
4,TRUE
134,TRUE
1,TRUE
54,TRUE
73,TRUE
3,TRUE
9,TRUE
4,TRUE
16,TRUE
17,TRUE
2,TRUE
29,TRUE
2,TRUE
166,TRUE
3,TRUE
20,TRUE
19,TRUE
18,TRUE
37,TRUE
14,TRUE
3,TRUE
4,TRUE
1,TRUE
12,TRUE
